company,commits,date
google.com,844,January 2015
google.com,1168,February 2015
google.com,1555,March 2015
google.com,1190,April 2015
google.com,1003,May 2015
google.com,1023,June 2015
google.com,964,July 2015
google.com,1060,August 2015
google.com,1239,September 2015
google.com,1466,October 2015
google.com,1319,November 2015
google.com,934,December 2015
google.com,1302,January 2016
google.com,1416,February 2016
google.com,1186,March 2016
google.com,1439,April 2016
google.com,1155,May 2016
google.com,1502,June 2016
google.com,1159,July 2016
google.com,1339,August 2016
google.com,1207,September 2016
google.com,1598,October 2016
google.com,1344,November 2016
google.com,1332,December 2016
google.com,1425,January 2017
google.com,1693,February 2017
google.com,1564,March 2017
google.com,1639,April 2017
google.com,1656,May 2017
google.com,2207,June 2017
google.com,1947,July 2017
google.com,2154,August 2017
google.com,1837,September 2017
google.com,2956,October 2017
google.com,2600,November 2017
google.com,1201,December 2017
google.com,1452,January 2018
google.com,1218,February 2018
google.com,1659,March 2018
google.com,1677,April 2018
google.com,2121,May 2018
google.com,1556,June 2018
google.com,1886,July 2018
google.com,1854,August 2018
google.com,1338,September 2018
google.com,2047,October 2018
google.com,985,November 2018
google.com,1113,December 2018
google.com,1402,January 2019
google.com,1100,February 2019
google.com,1611,March 2019
google.com,1339,April 2019
google.com,1332,May 2019
google.com,1584,June 2019
google.com,1500,July 2019
google.com,1319,August 2019
google.com,1451,September 2019
google.com,1493,October 2019
google.com,1481,November 2019
google.com,1228,December 2019
google.com,1349,January 2020
google.com,1404,February 2020
google.com,1349,January 2020
google.com,1404,February 2020
chromium.org,2332,January 2015
chromium.org,1716,February 2015
chromium.org,2614,March 2015
chromium.org,3218,April 2015
chromium.org,2110,May 2015
chromium.org,1997,June 2015
chromium.org,1794,July 2015
chromium.org,1798,August 2015
chromium.org,1944,September 2015
chromium.org,1746,October 2015
chromium.org,1238,November 2015
chromium.org,995,December 2015
chromium.org,1272,January 2016
chromium.org,1288,February 2016
chromium.org,2032,March 2016
chromium.org,1374,April 2016
chromium.org,1472,May 2016
chromium.org,1493,June 2016
chromium.org,2113,July 2016
chromium.org,1952,August 2016
chromium.org,2083,September 2016
chromium.org,1729,October 2016
chromium.org,1529,November 2016
chromium.org,1626,December 2016
chromium.org,1584,January 2017
chromium.org,1569,February 2017
chromium.org,1977,March 2017
chromium.org,1784,April 2017
chromium.org,2318,May 2017
chromium.org,2471,June 2017
chromium.org,2153,July 2017
chromium.org,2119,August 2017
chromium.org,1883,September 2017
chromium.org,2924,October 2017
chromium.org,2557,November 2017
chromium.org,1531,December 2017
