company,commits,date
chromium.org,140,January 2015
chromium.org,148,February 2015
chromium.org,145,March 2015
chromium.org,168,April 2015
chromium.org,121,May 2015
chromium.org,87,June 2015
chromium.org,161,July 2015
chromium.org,173,August 2015
chromium.org,107,September 2015
chromium.org,94,October 2015
chromium.org,92,November 2015
chromium.org,92,December 2015
chromium.org,138,January 2016
chromium.org,155,February 2016
chromium.org,110,March 2016
chromium.org,74,April 2016
chromium.org,53,May 2016
chromium.org,46,June 2016
chromium.org,114,July 2016
chromium.org,161,August 2016
chromium.org,161,September 2016
chromium.org,175,October 2016
chromium.org,125,November 2016
chromium.org,58,December 2016
chromium.org,102,January 2017
chromium.org,115,February 2017
chromium.org,94,March 2017
chromium.org,90,April 2017
chromium.org,244,May 2017
chromium.org,117,June 2017
chromium.org,66,July 2017
chromium.org,173,August 2017
chromium.org,134,September 2017
chromium.org,173,October 2017
chromium.org,161,November 2017
chromium.org,122,December 2017
chromium.org,102,January 2018
chromium.org,45,February 2018
chromium.org,22,March 2018
chromium.org,71,April 2018
chromium.org,129,May 2018
chromium.org,135,June 2018
chromium.org,93,July 2018
chromium.org,87,August 2018
chromium.org,30,September 2018
chromium.org,56,October 2018
chromium.org,57,November 2018
chromium.org,38,December 2018
chromium.org,63,January 2019
chromium.org,87,February 2019
chromium.org,55,March 2019
chromium.org,21,April 2019
chromium.org,22,May 2019
chromium.org,135,June 2019
chromium.org,44,July 2019
chromium.org,50,August 2019
chromium.org,25,September 2019
chromium.org,40,October 2019
chromium.org,21,November 2019
google.com,239,January 2015
google.com,235,February 2015
google.com,239,March 2015
google.com,191,April 2015
google.com,192,May 2015
google.com,205,June 2015
google.com,209,July 2015
google.com,227,August 2015
google.com,219,September 2015
google.com,195,October 2015
google.com,219,November 2015
google.com,195,December 2015
google.com,263,January 2016
google.com,365,February 2016
google.com,396,March 2016
google.com,376,April 2016
google.com,282,May 2016
google.com,288,June 2016
google.com,390,July 2016
google.com,401,August 2016
google.com,339,September 2016
google.com,259,October 2016
google.com,359,November 2016
google.com,317,December 2016
google.com,359,January 2017
google.com,386,February 2017
google.com,481,March 2017
google.com,355,April 2017
google.com,368,May 2017
google.com,364,June 2017
google.com,388,July 2017
google.com,252,August 2017
google.com,262,September 2017
google.com,294,October 2017
google.com,305,November 2017
google.com,316,December 2017
google.com,344,January 2018
google.com,321,February 2018
google.com,289,March 2018
google.com,362,April 2018
google.com,364,May 2018
google.com,337,June 2018
google.com,296,July 2018
google.com,413,August 2018
google.com,374,September 2018
google.com,490,October 2018
google.com,379,November 2018
google.com,364,December 2018
google.com,331,January 2019
google.com,366,February 2019
google.com,437,March 2019
google.com,427,April 2019
google.com,341,May 2019
google.com,337,June 2019
google.com,398,July 2019
google.com,338,August 2019
google.com,271,September 2019
google.com,322,October 2019
google.com,353,November 2019
skia.org,0,January 2015
skia.org,0,February 2015
skia.org,0,March 2015
skia.org,1,April 2015
skia.org,0,May 2015
skia.org,0,June 2015
skia.org,0,July 2015
skia.org,2,August 2015
skia.org,3,September 2015
skia.org,4,October 2015
skia.org,0,November 2015
skia.org,4,December 2015
skia.org,4,January 2016
skia.org,5,February 2016
skia.org,4,March 2016
skia.org,3,April 2016
skia.org,4,May 2016
skia.org,3,June 2016
skia.org,4,July 2016
skia.org,4,August 2016
skia.org,4,September 2016
skia.org,2,October 2016
skia.org,3,November 2016
skia.org,4,December 2016
skia.org,2,January 2017
skia.org,4,February 2017
skia.org,8,March 2017
skia.org,9,April 2017
skia.org,6,May 2017
skia.org,4,June 2017
skia.org,11,July 2017
skia.org,16,August 2017
skia.org,25,September 2017
skia.org,19,October 2017
skia.org,14,November 2017
skia.org,28,December 2017
skia.org,25,January 2018
skia.org,30,February 2018
skia.org,32,March 2018
skia.org,31,April 2018
skia.org,13,May 2018
skia.org,29,June 2018
skia.org,18,July 2018
skia.org,24,August 2018
skia.org,23,September 2018
skia.org,28,October 2018
skia.org,24,November 2018
skia.org,18,December 2018
skia.org,1,January 2019
skia.org,0,February 2019
skia.org,0,March 2019
skia.org,0,April 2019
skia.org,0,May 2019
skia.org,29,June 2019
skia.org,0,July 2019
skia.org,0,August 2019
skia.org,0,September 2019
skia.org,0,October 2019
skia.org,0,November 2019
nvidia.com,14,January 2015
nvidia.com,7,February 2015
nvidia.com,11,March 2015
nvidia.com,10,April 2015
nvidia.com,17,January 2016
nvidia.com,21,February 2016
nvidia.com,14,March 2016
nvidia.com,16,April 2016
nvidia.com,11,May 2016
nvidia.com,0,June 2016
nvidia.com,0,July 2016
nvidia.com,0,August 2016
nvidia.com,0,September 2016
nvidia.com,0,October 2016
nvidia.com,0,November 2016
nvidia.com,0,December 2016
nvidia.com,0,January 2017
nvidia.com,0,February 2017
nvidia.com,0,March 2017
nvidia.com,0,April 2017
nvidia.com,0,May 2017
nvidia.com,0,June 2017
nvidia.com,0,July 2017
nvidia.com,0,August 2017
nvidia.com,0,September 2017
nvidia.com,0,October 2017
nvidia.com,0,November 2017
nvidia.com,0,December 2017
nvidia.com,0,January 2018
nvidia.com,0,February 2018
nvidia.com,0,March 2018
nvidia.com,0,April 2018
nvidia.com,0,May 2018
nvidia.com,0,June 2018
nvidia.com,0,July 2018
nvidia.com,0,August 2018
nvidia.com,0,September 2018
nvidia.com,0,October 2018
nvidia.com,0,November 2018
nvidia.com,0,December 2018
nvidia.com,0,January 2019
nvidia.com,0,February 2019
nvidia.com,0,March 2019
nvidia.com,0,April 2019
nvidia.com,0,May 2019
nvidia.com,0,June 2019
nvidia.com,0,July 2019
nvidia.com,0,August 2019
nvidia.com,0,September 2019
nvidia.com,0,October 2019
nvidia.com,0,November 2019
arm.com,0,January 2015
arm.com,1,February 2015
arm.com,0,March 2015
arm.com,0,April 2015
arm.com,1,May 2015
arm.com,1,June 2015
arm.com,1,July 2015
arm.com,0,August 2015
arm.com,0,September 2015
arm.com,0,October 2015
arm.com,0,November 2015
arm.com,1,December 2015
arm.com,0,January 2016
arm.com,0,February 2016
arm.com,1,March 2016
arm.com,0,April 2016
arm.com,0,May 2016
arm.com,0,June 2016
arm.com,0,July 2016
arm.com,0,August 2016
arm.com,0,September 2016
arm.com,2,October 2016
arm.com,0,November 2016
arm.com,2,December 2016
arm.com,2,January 2017
arm.com,0,February 2017
arm.com,1,March 2017
arm.com,1,April 2017
arm.com,2,May 2017
arm.com,0,June 2017
arm.com,0,July 2017
arm.com,0,August 2017
arm.com,0,September 2017
arm.com,0,October 2017
arm.com,0,November 2017
arm.com,0,December 2017
arm.com,0,January 2018
arm.com,0,February 2018
arm.com,0,March 2018
arm.com,0,April 2018
arm.com,0,May 2018
arm.com,0,June 2018
arm.com,0,July 2018
arm.com,0,August 2018
arm.com,0,September 2018
arm.com,0,October 2018
arm.com,0,November 2018
arm.com,0,December 2018
arm.com,0,January 2019
arm.com,0,February 2019
arm.com,1,March 2019
arm.com,0,April 2019
arm.com,0,May 2019
arm.com,0,June 2019
arm.com,0,July 2019
arm.com,0,August 2019
arm.com,0,September 2019
arm.com,0,October 2019
arm.com,0,November 2019
intel.com,0,January 2015
intel.com,0,February 2015
intel.com,2,March 2015
intel.com,2,April 2015
intel.com,0,May 2015
intel.com,1,June 2015
intel.com,1,July 2015
intel.com,0,August 2015
intel.com,0,September 2015
intel.com,0,October 2015
intel.com,3,November 2015
intel.com,0,December 2015
intel.com,0,January 2016
intel.com,6,February 2016
intel.com,1,March 2016
intel.com,0,April 2016
intel.com,1,May 2016
intel.com,2,June 2016
intel.com,1,July 2016
intel.com,2,August 2016
intel.com,2,September 2016
intel.com,2,October 2016
intel.com,2,November 2016
intel.com,1,December 2016
intel.com,0,January 2017
intel.com,0,February 2017
intel.com,0,March 2017
