company,commits,date
chromium.org,368,January 2015
chromium.org,453,February 2015
chromium.org,467,March 2015
chromium.org,477,April 2015
chromium.org,429,May 2015
chromium.org,528,June 2015
chromium.org,426,July 2015
chromium.org,436,August 2015
chromium.org,369,September 2015
chromium.org,546,October 2015
chromium.org,569,November 2015
chromium.org,452,December 2015
chromium.org,446,January 2016
chromium.org,601,February 2016
chromium.org,625,March 2016
chromium.org,565,April 2016
chromium.org,569,May 2016
chromium.org,634,June 2016
chromium.org,588,July 2016
chromium.org,709,August 2016
chromium.org,743,September 2016
chromium.org,663,October 2016
chromium.org,634,November 2016
chromium.org,537,December 2016
chromium.org,725,January 2017
chromium.org,574,February 2017
chromium.org,692,March 2017
chromium.org,597,April 2017
chromium.org,529,May 2017
chromium.org,613,June 2017
chromium.org,530,July 2017
chromium.org,547,August 2017
chromium.org,385,September 2017
chromium.org,700,October 2017
chromium.org,595,November 2017
chromium.org,438,December 2017
chromium.org,519,January 2018
chromium.org,511,February 2018
chromium.org,389,March 2018
chromium.org,467,April 2018
chromium.org,454,May 2018
chromium.org,486,June 2018
chromium.org,556,July 2018
chromium.org,559,August 2018
chromium.org,549,September 2018
chromium.org,739,October 2018
chromium.org,622,November 2018
chromium.org,441,December 2018
chromium.org,617,January 2019
chromium.org,560,February 2019
chromium.org,422,March 2019
chromium.org,433,April 2019
chromium.org,620,May 2019
chromium.org,486,June 2019
chromium.org,417,July 2019
chromium.org,351,August 2019
chromium.org,430,September 2019
chromium.org,486,October 2019
chromium.org,443,November 2019
chromium.org,233,December 2019
chromium.org,403,January 2020
chromium.org,334,February 2020
chromium.org,287,March 2020
chromium.org,440,April 2020
chromium.org,476,May 2020
chromium.org,432,June 2020
chromium.org,420,July 2020
chromium.org,327,August 2020
chromium.org,451,September 2020
google.com,0,January 2015
google.com,3,February 2015
google.com,2,March 2015
google.com,4,April 2015
google.com,4,May 2015
google.com,1,June 2015
google.com,2,July 2015
google.com,11,August 2015
google.com,14,September 2015
google.com,8,October 2015
google.com,15,November 2015
google.com,13,December 2015
google.com,5,January 2016
google.com,5,February 2016
google.com,8,March 2016
google.com,6,April 2016
google.com,10,May 2016
google.com,23,June 2016
google.com,26,July 2016
google.com,50,August 2016
google.com,24,September 2016
google.com,13,October 2016
google.com,3,November 2016
google.com,6,December 2016
google.com,6,January 2017
google.com,17,March 2017
google.com,11,April 2017
google.com,27,May 2017
google.com,15,June 2017
google.com,37,July 2017
google.com,53,August 2017
google.com,33,September 2017
google.com,20,October 2017
google.com,36,November 2017
google.com,52,December 2017
google.com,60,January 2018
google.com,17,February 2018
google.com,5,March 2018
google.com,26,April 2018
google.com,26,May 2018
google.com,92,June 2018
google.com,60,July 2018
google.com,79,August 2018
google.com,115,September 2018
google.com,33,October 2018
google.com,1,November 2018
google.com,0,December 2018
google.com,1,January 2019
google.com,10,February 2019
google.com,14,March 2019
google.com,28,April 2019
google.com,49,May 2019
google.com,92,June 2019
google.com,36,July 2019
google.com,26,August 2019
google.com,22,September 2019
google.com,4,October 2019
google.com,2,November 2019
google.com,0,December 2019,
google.com,9,January 2020
google.com,10,February 2020
google.com,2,March 2020
google.com,3,April 2020
google.com,4,May 2020
google.com,14,June 2020
google.com,42,July 2020
google.com,44,August 2020
google.com,44,September 2020
intel.com,11,January 2015
intel.com,38,February 2015
intel.com,27,March 2015
intel.com,23,April 2015
intel.com,19,May 2015
intel.com,16,June 2015
intel.com,38,July 2015
intel.com,17,August 2015
intel.com,38,September 2015
intel.com,21,October 2015
intel.com,43,November 2015
intel.com,43,December 2015
intel.com,23,January 2016
intel.com,36,February 2016
intel.com,32,March 2016
intel.com,31,April 2016
intel.com,23,May 2016
intel.com,37,June 2016
intel.com,25,July 2016
intel.com,18,August 2016
intel.com,9,September 2016
intel.com,19,October 2016
intel.com,13,November 2016
intel.com,4,December 2016
