Contributor,April 2020
chromium.org,2462
google.com,1520
gmail.com,1106
collabora.com,779
intel.com,715
redhat.com,272
jlekstrand.net,196
amd.com,172
schuermann.dev,130
arm.com,118
codeaurora.org,105
renesas.com,98
marek.ca,90
kernel.org,87
anholt.net,86
linaro.org,75
suse.de,71
ideasonboard.com,65
huawei.com,62
oracle.com,61
mellanox.com,58
igalia.com,52
suse.com,47
pnwbakers.com,46
bitland.corp-partner.google.com,44
ibm.com,41
itsqueeze.com,40
alum.mit.edu,40
nxp.com,37
ti.com,36
suse.cz,36
canonical.com,36
amd.corp-partner.google.com,36
linuxfoundation.org,34
infradead.org,34
mediatek.com,33
riseup.net,32
quanta.corp-partner.google.com,32
compal.corp-partner.google.com,32
basnieuwenhuizen.nl,32
brkho.com,30
linutronix.de,28
broadcom.com,28
samsung.com,26
noos.fr,26
engestrom.ch,26
linux.alibaba.com,23
toxicpanda.com,22
baylibre.com,22
lca.pw,19
vmware.com,18
pengutronix.de,18
microsoft.com,18
socionext.com,17
secunet.com,17
nvidia.com,17
virtuozzo.com,16
aleksander.es,16
synopsys.com,15
whitecape.org,14
realtek.com,14
globallogic.com,14
fb.com,14
sony.com,13
hammerspace.com,12
gorani.run,12
synaptics.com,10
jmondi.org,10
intel.corp-partner.google.com,10
chelsio.com,10
c-s.fr,10
9elements.com,10
roeck-us.net,9
quantatw.com,9
netfilter.org,9
microchip.com,9
gmx.de,9
cn.fujitsu.com,9
st.com,8
oss.nxp.com,8
metafoo.de,8
kalray.eu,8
joshtriplett.org,8
gmx.net,8
fudan.edu.cn,8
ellerman.id.au,8
crapouillou.net,8
benyossef.com,8
xilinx.com,7
vivo.com,7
samsung.corp-partner.google.com,7
rowland.harvard.edu,7
ragnatech.se,7
megous.com,7
joelfernandes.org,7
denx.de,7
acm.org,7
3mdeb.com,7
yandex-team.ru,6
vdorst.com,6
raspberrypi.com,6
queasysnail.net,6
lwfinger.net,6
kontron.de,6
ite.com.tw,6
huddly.com,6
freedesktop.org,6
embeddedor.com,6
dell.corp-partner.google.com,6
cs.washington.edu,6
zx2c4.com,5
xmission.com,5
ualberta.ca,5
tuxera.com,5
solarflare.com,5
semihalf.com,5
sandeen.net,5
review.trustedfirmware.org,5
mansr.com,5
horus.com,5
hartkopp.net,5
green-communications.fr,5
glider.be,5
gentoo.org,5
criteo.com,5
alphalink.fr,5
aheymans.xyz,5
6wind.com,5
ubuntu.com,4
tycho.ws,4
triplefau.lt,4
timstallard.me.uk,4
swizzler.org,4
strupe.net,4
strlen.de,4
qca.qualcomm.com,4
pp3345.net,4
plvision.eu,4
netbsd.org,4
microsemi.com,4
me.com,4
lenovo.com,4
lemote.com,4
laas.fr,4
keemail.me,4
kaod.org,4
kaiser.cx,4
jp.fujitsu.com,4
ite.corp-partner.google.com,4
iscas.ac.cn,4
iogearbox.net,4
inai.de,4
iki.fi,4
hisilicon.com,4
grimberg.me,4
googlemail.com,4
gerhold.net,4
froggi.es,4
fluxnic.net,4
esmil.dk,4
emc.com.tw,4
das-labor.org,4
codecoup.pl,4
cmpxchg.org,4
cisco.com,4
chris-wilson.co.uk,4
canb.auug.org.au,4
bootlin.com,4
axtens.net,4
arrikto.com,4
siol.net,3
siemens.com,3
sholland.org,3
purestorage.com,3
nokia.com,3
neverware.com,3
molgen.mpg.de,3
kernel.wtf,3
goodmis.org,3
eltan.com,3
deltatee.com,3
cmss.chinamobile.com,3
cerno.tech,3
bitwise.fi,3
allott.email,3
alliedtelesis.co.nz,3
Pranay,3
yahoo.com,2
xiaomi.com,2
wunner.de,2
walle.cc,2
unrelenting.technology,2
tsoy.me,2
topcon.com,2
tencent.com,2
synology.com,2
sylv.io,2
sardemff7.net,2
posteo.net,2
paul-moore.com,2
ott.net,2
nuvoton.com,2
nure.ua,2
northeastern.edu,2
mev.co.uk,2
mess.org,2
math.uni-bielefeld.de,2
mailoo.org,2
linux-foundation.org,2
lcfc.corp-partner.google.com,2
laoqinren.net,2
labau.com.tw,2
konsulko.com,2
kernel.dk,2
kernel.crashing.org,2
kde.org,2
jdcox.net,2
flowbird.group,2
ens-lyon.org,2
engebretsen.ch,2
emersion.fr,2
dronecode.org.uk,2
dh-electronics.com,2
dell.com,2
daynix.com,2
cloud.ionos.com,2
citrix.com,2
bytedance.com,2
bl4ckb0ne.ca,2
atomide.com,2
arndb.de,2
amazon.de,2
wiwynn.com,1
web.de,1
wdc.com,1
w1.fi,1
users.sourceforge.net,1
uros.com,1
umn.edu,1
uajain.com,1
tutanota.com,1
toradex.com,1
sord.co.jp,1
rere.qmqm.pl,1
ravnborg.org,1
ozlabs.ru,1
outlook.com.au,1
outlook.com,1
mniewoehner.de,1
mattea.info,1
marvell.com,1
linux.com,1
kollasch.net,1
klausen.dk,1
kerneltoast.com,1
jibi.io,1
inria.fr,1
ikuai8.com,1
hughsie.com,1
hotmail.com,1
holtmann.org,1
hardenedlinux.org,1
frantovo.cz,1
fossix.org,1
flygoat.com,1
ffwll.ch,1
fe80.eu,1
es.iitr.ac.in,1
draconx.ca,1
dei.uc.pt,1
datto.com,1
cumulusnetworks.com,1
csie.org,1
cjr.nz,1
ch1p.com,1
baidu.com,1
bacher09.org,1
azazel.net,1
axis.com,1
aurel32.net,1
analogixsemi.com,1
amazon.com,1
alumni.tuwien.ac.at,1
allegrodvt.com,1
akkea.ca,1
aisec.fraunhofer.de,1
