Contributor,August 2017
gmail.com,12911
intel.com,7905
google.com,3756
redhat.com,3625
mellanox.com,2862
amd.com,2850
linaro.org,2568
chromium.org,2266
kernel.org,1943
arm.com,1929
rock-chips.com,1848
ibm.com,1741
arndb.de,1685
davemloft.net,1551
oracle.com,1522
codeaurora.org,1517
linux-foundation.org,1393
suse.de,1315
lip6.fr,1168
suse.com,1119
ti.com,1116
wdc.com,1090
imgtec.com,1040
cavium.com,1026
huawei.com,1024
broadcom.com,964
infradead.org,920
canonical.com,873
mediatek.com,811
free-electrons.com,783
renesas.com,767
ellerman.id.au,760
nxp.com,730
users.sourceforge.net,700
ideasonboard.com,693
socionext.com,617
nvidia.com,587
embeddedor.com,580
linutronix.de,547
pengutronix.de,477
chris-wilson.co.uk,462
samsung.com,460
suse.cz,456
primarydata.com,450
fb.com,432
gmx.net,424
baylibre.com,420
kernel.crashing.org,410
strlen.de,400
vmware.com,396
collabora.com,390
xilinx.com,382
lst.de,382
gmx.de,381
unisys.com,380
networkplumber.org,350
wanadoo.fr,332
linuxfoundation.org,321
csie.org,300
iogearbox.net,291
tronnes.org,275
c-s.fr,271
netronome.com,260
itsqueeze.com,252
grimberg.me,250
whitecape.org,239
ffwll.ch,239
st.com,221
marvell.com,221
synopsys.com,220
aosc.io,214
cisco.com,211
axentia.se,210
mess.org,201
quantenna.com,200
lge.com,190
cogentembedded.com,182
s-opensource.com,181
osg.samsung.com,181
solarflare.com,180
cn.fujitsu.com,175
alum.mit.edu,168
savoirfairelinux.com,161
xs4all.nl,160
sakamocchi.jp,160
kernel.dk,160
hisilicon.com,160
dell.com,151
rere.qmqm.pl,150
basnieuwenhuizen.nl,144
linbit.com,140
googlemail.com,140
bp.renesas.com,140
theobroma-systems.com,131
cumulusnetworks.com,130
bgdev.pl,130
realtek.com,127
lechnology.com,121
ispras.ru,120
yandex-team.ru,114
qca.qualcomm.com,111
igalia.com,109
anholt.net,108
android.com,108
jlekstrand.net,102
163.com,101
uclouvain.be,100
sang-engineering.com,100
phrozen.org,100
microsoft.com,100
didichuxing.com,100
aj.id.au,100
kaod.org,95
ericsson.com,93
hotmail.com,92
roeck-us.net,91
chelsio.com,91
verge.net.au,90
the-dreams.de,90
telegraphics.com.au,90
networkimprov.net,90
glider.be,82
ddn.com,80
collabora.co.uk,80
secunet.com,79
microchip.com,77
toradex.com,76
i2se.com,71
visionengravers.com,70
rainbow-software.org,70
perches.com,70
opensource.se,70
math.uni-bielefeld.de,70
lixom.net,70
chronox.de,70
aquantia.com,70
alphalink.fr,70
holtmann.org,68
konsulko.com,67
spreadtrum.com,61
arm.linux.org.uk,61
sntech.de,60
ozlabs.ru,60
microsemi.com,60
lwn.net,60
egil-hjelmeland.no,60
atomide.com,60
amarulasolutions.com,58
hughsie.com,57
gentoo.org,56
cern.ch,56
ozlabs.org,54
nordicsemi.no,52
iki.fi,52
goodmis.org,51
wunner.de,50
semihalf.com,50
qti.qualcomm.com,50
messages.microsoft.com,50
linux-m68k.org,50
izt-labs.de,50
it-klinger.de,50
decadent.org.uk,50
bwidawsk.net,50
denx.de,45
techveda.org,41
axis.com,41
ucw.cz,40
plaes.org,40
paulk.fr,40
mentor.com,40
lwfinger.net,40
iotwrt.com,40
ingics.com,40
cypress.com,40
cray.com,40
beckhoff.com,40
agner.ch,40
virtuozzo.com,39
emc.com.tw,38
nuvoton.com,37
codecoup.pl,37
adaptrum.com,37
aheymans.xyz,35
engestrom.ch,34
twiddle.net,33
queasysnail.net,32
tycho.nsa.gov,30
quantonium.net,30
nokia.com,30
mork.no,30
mojatatu.com,30
milecki.pl,30
mendozajonas.com,30
maciej.szmigiero.name,30
klaipeden.com,30
dev.mellanox.co.il,30
debian.org,30
de.adit-jv.com,30
darmarit.de,30
dabbelt.com,30
apm.com,30
amazon.de,30
linux-iscsi.org,26
aleksander.es,26
ni.com,24
das-labor.org,24
rowland.harvard.edu,23
hpe.com,23
citrix.com,23
siemens.com,22
quantatw.com,22
marcan.st,22
linux-mips.org,21
gondor.apana.org.au,21
zytor.com,20
xmission.com,20
vip.163.com,20
ts.fujitsu.com,20
skyportsystems.com,20
sandeen.net,20
rvc.renesas.com,20
riseup.net,20
redpinesignals.com,20
ragnatech.se,20
qlogic.com,20
obsidianresearch.com,20
moxa.com,20
microseim.com,20
metafoo.de,20
masarand.com,20
kdab.com,20
kaiser.cx,20
ilbers.de,20
dowhile0.org,20
digikod.net,20
cmpxchg.org,20
caviumnetworks.com,20
anu.edu.au,20
aepfle.de,20
adiengineering.com,20
Unisys.com,20
KARO-electronics.de,20
sixbynine.org,19
dynardo.de,18
dhcp-40-204.bne.redhat.com,17
apple.com,14
quanta.corp-partner.google.com,12
deltatee.com,12
ya.ru,11
xiaomi.com,11
waymo.com,11
sigmadesigns.com,11
qnap.com,11
monkey.org,11
mjdsystems.ca,11
mit.edu,11
erwinrol.com,11
au1.ibm.com,11
analog.com,11
alpha.franken.de,11
yandex.ru,10
xdel.ru,10
windriver.com,10
v3.sk,10
ubuntu.com,10
tuxdriver.com,10
tsyrklevich.net,10
tobin.cc,10
tkos.co.il,10
spectralink.com,10
sonarnerd.net,10
scara.com,10
rt-rk.com,10
rsyncme.org,10
rockwellcollins.com,10
regit.org,10
ravnborg.org,10
purestorage.com,10
public.gmane.org,10
phh.me,10
pbrane.org,10
paul-moore.com,10
partition-saving.com,10
parrot.com,10
ovn.org,10
orcon.net.nz,10
opengridcomputing.com,10
one.verizon.com,10
o2linux.fr,10
nikanor.nu,10
nexus-software.ie,10
neuling.org,10
mnementh.co.uk,10
mev.co.uk,10
mendix.com,10
men.de,10
mailbox.org,10
lemonage.de,10
kpanic.de,10
kjoelbaek.dk,10
jp.alps.com,10
jms.id.au,10
jjdev.com,10
innovation.ch,10
infinera.com,10
in04.sg,10
hardeman.nu,10
grinn-global.com,10
goldelico.com,10
gmx.at,10
ge.com,10
g.ncu.edu.tw,10
frei.media,10
foxmail.com,10
flameeyes.eu,10
fi.muni.cz,10
fastmail.com,10
ezchip.com,10
excelero.com,10
epam.com,10
efficios.com,10
dk-develop.de,10
dilger.ca,10
diasemi.com,10
diac24.net,10
deephi.tech,10
daynix.com,10
cs.rutgers.edu,10
corp.bluecherry.net,10
cmu.edu,10
cirrus.com,10
cascardo.eti.br,10
bytheb.org,10
brennan.io,10
boundarydevices.com,10
bernat.im,10
benyossef.com,10
benjamin.pe,10
bell.net,10
asyring.de,10
astro.ai,10
arkver.com,10
anw.at,10
amazon.com,10
altlinux.org,10
alliedtelesis.co.nz,10
alibaba-inc.com,10
ah.jp.nec.com,10
aggios.com,10
ZenIV.linux.org.uk,10
I-love.SAKURA.ne.jp,10
peloton-tech.com,9
outlook.com,9
coreboot.org,8
acer.com,8
rutgers.edu,7
vidarholen.net,6
limesaudio.com,6
jp.fujitsu.com,6
ite.com.tw,6
frickel.club,6
feralinteractive.com,6
