Contributor,December 2015
intel.com,118624
gmail.com,100774
redhat.com,47797
linaro.org,28846
kernel.org,27375
chromium.org,25837
linux-foundation.org,22483
samsung.com,19468
google.com,19298
amd.com,16979
ibm.com,15645
suse.de,14138
ti.com,13450
arm.com,11979
freescale.com,11831
atmel.com,11370
davemloft.net,10848
oracle.com,10233
free-electrons.com,9147
visionengravers.com,8566
codeaurora.org,8491
mellanox.com,8279
osg.samsung.com,7907
arndb.de,7682
nvidia.com,7512
huawei.com,6374
imgtec.com,6286
pengutronix.de,5929
suse.com,5896
metafoo.de,5821
glider.be,5714
renesas.com,5220
vmware.com,4968
linutronix.de,4914
zeniv.linux.org.uk,4491
primarydata.com,4475
holtmann.org,4371
tieto.com,4265
broadcom.com,4185
iki.fi,4140
arm.linux.org.uk,3946
ffwll.ch,3919
marvell.com,3916
mev.co.uk,3906
lst.de,3899
lixom.net,3867
qca.qualcomm.com,3841
suse.cz,3637
gondor.apana.org.au,3594
cisco.com,3573
lip6.fr,3510
infradead.org,3353
fb.com,3216
ideasonboard.com,3137
synopsys.com,2965
ingics.com,2963
unisys.com,2957
xmission.com,2945
hovoldconsulting.com,2880
linuxfoundation.org,2851
cumulusnetworks.com,2838
w1.fi,2807
alum.mit.edu,2799
perches.com,2767
mediatek.com,2610
rock-chips.com,2574
windriver.com,2488
whitecape.org,2375
collabora.co.uk,2247
anholt.net,2241
igalia.com,2212
linuxhacker.ru,2211
chelsio.com,2194
cn.fujitsu.com,2177
avagotech.com,2177
skynet.be,2161
chris-wilson.co.uk,2077
atomide.com,2072
gmx.de,2051
opensource.wolfsonmicro.com,2030
cogentembedded.com,2012
rasmusvillemoes.dk,2001
realtek.com,1970
canonical.com,1968
xilinx.com,1954
roeck-us.net,1948
goodmis.org,1925
socionext.com,1837
qti.qualcomm.com,1832
riseup.net,1795
wizery.com,1727
nod.at,1715
163.com,1713
ericsson.com,1707
linux-m68k.org,1701
linux-mips.org,1673
hp.com,1661
collabora.com,1640
csie.org,1629
free.fr,1624
users.sourceforge.net,1622
osadl.org,1596
freedesktop.org,1578
visteon.com,1576
hurleysoftware.com,1551
microsoft.com,1531
ellerman.id.au,1510
sakamocchi.jp,1477
iogearbox.net,1439
citrix.com,1436
qlogic.com,1427
sntech.de,1337
sonymobile.com,1335
spectrumdigital.se,1271
rainbow-software.org,1265
apm.com,1234
savoirfairelinux.com,1216
baylibre.com,1196
rustcorp.com.au,1154
debethencourt.com,1141
netfilter.org,1137
openwrt.org,1096
strlen.de,1060
emulex.com,1045
denx.de,1035
hitachi.com,1032
csr.com,1021
st.com,1008
codethink.co.uk,1001
nicira.com,1000
linux-iscsi.org,976
xs4all.nl,960
sang-engineering.com,944
ens.fr,944
samba.org,936
solarflare.com,927
mentor.com,917
lunn.ch,908
opensource.altera.com,893
sandisk.com,890
microchip.com,880
cavium.com,871
pmcs.com,869
mleia.com,853
6wind.com,834
suug.ch,822
googlemail.com,818
gentoo.org,800
plumgrid.com,781
herbertland.com,778
lab.ntt.co.jp,775
agner.ch,775
tkos.co.il,716
diasemi.com,714
axtens.net,712
jlekstrand.net,700
the-dreams.de,694
mit.edu,688
stgolabs.net,668
ezchip.com,658
axis.com,650
ieee.org,649
parallels.com,640
virtuozzo.com,638
c-s.fr,637
compulab.co.il,629
chronox.de,616
raptorengineeringinc.com,611
opensource.se,605
rab.in,597
trash.net,585
ah.jp.nec.com,583
hpe.com,564
hotmail.com,559
QCA.qualcomm.com,539
amacapital.net,534
verge.net.au,527
siemens.com,519
coreboot.org,515
ozlabs.ru,513
stressinduktion.org,506
vanguardiasur.com.ar,486
nokia.com,484
poochiereds.net,483
konsulko.com,481
yahoo.com.au,480
lwfinger.net,475
rorvick.com,473
lucaceresoli.net,462
posteo.de,460
nwl.cc,458
yandex-team.ru,450
omnibond.com,450
jp.fujitsu.com,448
au1.ibm.com,445
i2se.com,438
users.sourceforge.jp,436
mirantis.com,416
toradex.com,411
fromorbit.com,408
goldelico.com,405
neuling.org,401
martin.sperl.org,401
purestorage.com,396
hauke-m.de,396
ni.com,390
kroah.com,390
wunner.de,388
ispras.ru,386
resnulli.us,385
android.com,380
lge.com,375
hofr.at,374
cmss.chinamobile.com,374
bjorling.me,374
altera.com,374
rempel-privat.de,363
linbit.com,360
trendmicro.com.cn,358
profitbricks.com,357
wp.pl,347
tuxdriver.com,345
jp.panasonic.com,345
decadent.org.uk,344
cs.technion.ac.il,343
bobcopeland.com,338
brocade.com,329
hisilicon.com,324
cmpxchg.org,322
analog.com,321
dev.mellanox.co.il,319
caviumnetworks.com,318
m4x.org,295
netapp.com,294
linux.com,292
hughsie.com,292
cypress.com,281
virtualopensystems.com,278
eclipso.eu,278
boundarydevices.com,273
endlessm.com,272
obsidianresearch.com,270
mvista.com,264
distanz.ch,264
quantatw.com,263
ite.com.tw,258
netronome.com,257
mork.no,256
tomshardware.fr,254
finsecur.com,254
canb.auug.org.au,254
a1ca3aef-8c08-0410-bb20-df032aa958be,254
realsil.com.cn,253
physik.uni-kl.de,253
emc.com,253
maciej.szmigiero.name,252
ao2.it,252
rowland.harvard.edu,251
narfation.org,251
bitplanet.net,249
ucw.cz,246
gmx.com,244
freebox.fr,244
debian.org,244
wanadoo.fr,242
tul.cz,242
collogia.de,242
brown.name,242
aleksander.es,242
emc.com.tw,241
math.uni-bielefeld.de,240
chirality.org.uk,238
lwn.net,231
lse.epita.fr,229
virtuousgeek.org,228
uclinux.org,228
neomailbox.ch,227
mansr.com,225
kernel.crashing.org,223
osandov.com,222
georgi-clan.de,222
strongswan.org,220
natisbad.org,220
devoid-pointer.net,220
kde.org,218
ettus.com,218
tycho.nsa.gov,216
yahoo.com,215
codecoup.pl,215
alterapraxis.com,213
sequanux.org,211
ijw.co.nz,211
eu.citrix.com,210
ssi.bg,209
networkplumber.org,207
popple.id.au,205
semihalf.com,204
animalcreek.com,203
gmx.at,202
candelatech.com,199
