Contributor,February 2015
intel.com,7968
gmail.com,6714
redhat.com,3289
kernel.org,2365
linux-foundation.org,2311
chromium.org,1924
samsung.com,1898
suse.de,1673
google.com,1420
primarydata.com,1100
imgtec.com,1007
tieto.com,882
ibm.com,837
iki.fi,815
ti.com,754
linaro.org,739
amd.com,722
oracle.com,714
rasmusvillemoes.dk,704
davemloft.net,682
qca.qualcomm.com,643
osg.samsung.com,627
rustcorp.com.au,583
arndb.de,518
suse.cz,508
suse.com,508
huawei.com,505
vmware.com,473
glider.be,451
arm.com,442
mellanox.com,429
zeniv.linux.org.uk,407
pengutronix.de,403
ericsson.com,396
emulex.com,396
codeaurora.org,360
users.sourceforge.net,347
osadl.org,341
ffwll.ch,327
skynet.be,319
lst.de,319
parallels.com,300
siemens.com,298
freescale.com,297
hp.com,287
hurleysoftware.com,286
goodmis.org,286
perches.com,276
ideasonboard.com,275
holtmann.org,263
alum.mit.edu,258
spectrumdigital.se,253
infradead.org,231
free-electrons.com,221
opensource.se,220
ah.jp.nec.com,220
riseup.net,215
anholt.net,215
renesas.com,210
realtek.com,209
linux-iscsi.org,209
whitecape.org,200
mev.co.uk,198
metafoo.de,176
chelsio.com,176
nvidia.com,174
marvell.com,171
ens.fr,166
android.com,157
gmx.de,154
atmel.com,151
igalia.com,144
stgolabs.net,143
pmcs.com,143
cogentembedded.com,141
amacapital.net,136
roeck-us.net,132
codethink.co.uk,132
sobrie.be,121
lixom.net,121
hofr.at,121
fb.com,121
cumulusnetworks.com,121
collabora.co.uk,121
cavium.com,121
w1.fi,120
synopsys.com,112
lge.com,111
rorvick.com,110
natisbad.org,110
linutronix.de,110
hitachi.com,110
rock-chips.com,108
qti.qualcomm.com,103
opensource.wolfsonmicro.com,101
suug.ch,99
iogearbox.net,99
fromorbit.com,99
collabora.com,99
cmpxchg.org,99
citrix.com,99
broadcom.com,96
sakamocchi.jp,88
linux-m68k.org,88
cn.fujitsu.com,86
aleksander.es,85
smartplayin.com,77
qlogic.com,77
canonical.com,77
altera.com,77
jp.panasonic.com,70
freedesktop.org,70
sandeen.net,67
raptorengineeringinc.com,67
yandex-team.ru,66
linux-powerpc.org,66
agner.ch,66
jlekstrand.net,64
gentoo.org,61
linuxfoundation.org,57
wizery.com,56
atomide.com,56
verge.net.au,55
sonymobile.com,55
realsil.com.cn,55
nicira.com,55
mail.ccsf.edu,55
linux-mips.org,55
einserver.de,55
diasemi.com,55
devoid-pointer.net,55
csie.org,55
axis.com,55
ao2.it,55
analog.com,55
xilinx.com,53
chris-wilson.co.uk,49
das-labor.org,48
candelatech.com,48
ispras.ru,47
ingics.com,47
tkos.co.il,44
tiscali.nl,44
the-dreams.de,44
synaptics.com,44
queasysnail.net,44
linux.com,44
gondor.apana.org.au,44
free.fr,44
cybernetics.com,44
cadete.eu,44
topic.nl,33
tomshardware.fr,33
tandemg.com,33
st.com,33
schischi.me,33
pwsan.com,33
openwrt.org,33
netfilter.org,33
mvista.com,33
mit.edu,33
mail.huji.ac.il,33
lunn.ch,33
linuxhacker.ru,33
hadess.net,33
green-communications.fr,33
finsecur.com,33
ellerman.id.au,33
dev.mellanox.co.il,33
collogia.de,33
caviumnetworks.com,33
axentia.se,33
au1.ibm.com,33
arm.linux.org.uk,33
Freescale.com,33
se-eng.com,30
hovoldconsulting.com,30
openvz.org,29
a1ca3aef-8c08-0410-bb20-df032aa958be,29
qce.qualcomm.com,27
sunrus.com.cn,26
googlemail.com,26
denx.de,25
osandov.com,23
globallogic.com,23
xs4all.nl,22
waldekranz.com,22
vsis.cz,22
ucw.cz,22
synology.com,22
strlen.de,22
stratus.com,22
ssi.bg,22
spreadtrum.com,22
sntech.de,22
shutemov.name,22
sang-engineering.com,22
sandisk.com,22
samfundet.no,22
samba.org,22
rit.edu,22
resnulli.us,22
purestorage.com,22
physik.uni-kl.de,22
opensource.altera.com,22
noironetworks.com,22
nexus-software.ie,22
mentor.com,22
men.de,22
lwfinger.net,22
lab.ntt.co.jp,22
kth.se,22
i2se.com,22
hisilicon.com,22
flawful.org,22
fedoraproject.org,22
distanz.ch,22
ddn.com,22
cray.com,22
caione.org,22
apm.com,22
I-love.SAKURA.ne.jp,22
6wind.com,22
mediatek.com,21
georgi-clan.de,18
apple.com,17
cworth.org,16
eclipso.eu,15
tycho.nsa.gov,14
twiddle.net,14
ni.com,14
compulab.co.il,13
boundarydevices.com,13
xes-inc.com,12
posteo.de,12
opteya.com,12
