Contributor,January 2019
intel.com,4471
gmail.com,3174
google.com,3037
chromium.org,2866
redhat.com,1758
amd.com,1002
linaro.org,929
huawei.com,688
codeaurora.org,670
mellanox.com,599
kernel.org,565
linux-foundation.org,549
renesas.com,511
arm.com,485
nxp.com,460
embeddedor.com,354
oracle.com,336
collabora.com,327
chris-wilson.co.uk,320
anholt.net,311
ibm.com,309
suse.de,299
linuxfoundation.org,285
nvidia.com,271
davemloft.net,234
bootlin.com,230
netronome.com,216
socionext.com,211
suse.com,205
baylibre.com,204
ti.com,195
arndb.de,187
itsqueeze.com,176
bp.renesas.com,171
canonical.com,168
xs4all.nl,166
microsoft.com,161
strlen.de,152
pengutronix.de,145
igalia.com,143
marek.ca,141
nordicsemi.no,140
mediatek.com,136
ideasonboard.com,133
w1.fi,128
synopsys.com,125
umn.edu,123
suse.cz,123
aheymans.xyz,120
microchip.com,119
xilinx.com,113
glider.be,111
iogearbox.net,106
ingics.com,105
fb.com,105
debian.org,101
ffwll.ch,99
csie.org,93
pnwbakers.com,89
chelsio.com,89
sakamocchi.jp,88
lst.de,88
st.com,87
telegraphics.com.au,81
noos.fr,80
samsung.com,74
mit.edu,73
googlemail.com,73
realtek.com,71
linutronix.de,71
infradead.org,71
zte.com.cn,70
rock-chips.com,69
ravnborg.org,69
lip6.fr,69
aleksander.es,69
wavecomp.com,66
virtuozzo.com,66
basnieuwenhuizen.nl,66
163.com,66
citrix.com,65
free.fr,64
cisco.com,64
windriver.com,63
stgolabs.net,63
riseup.net,63
gmx.de,62
vmware.com,61
hughsie.com,61
whitecape.org,60
nbd.name,60
brauner.io,60
v3.sk,58
schaufler-ca.com,57
konsulko.com,55
sang-engineering.com,54
onstation.org,51
I-love.SAKURA.ne.jp,51
lunn.ch,50
cavium.com,50
marvell.com,46
areca.com.tw,45
denx.de,44
amarulasolutions.com,44
jmondi.org,43
c-s.fr,43
ite.com.tw,42
atomide.com,42
agner.ch,42
globallogic.com,41
vidarholen.net,39
corrick.kiwi,38
acm.org,38
zeniv.linux.org.uk,37
broadcom.com,37
ucloud.cn,36
opensource.cirrus.com,36
mips.com,36
axentia.se,36
quanta.corp-partner.google.com,35
aurel32.net,35
seberm.com,33
ragnatech.se,33
jms.id.au,33
hisilicon.com,32
wunner.de,31
foundries.io,31
tronnes.org,30
pabigot.com,30
mleia.com,30
mail.ru,30
lemote.com,30
deltatee.com,30
lca.pw,28
arista.com,28
toradex.com,27
lixom.net,27
grimberg.me,27
gmx.com,27
gentoo.org,27
displaylink.com,27
wdc.com,26
kaod.org,26
dell.com,26
9elements.com,26
analog.com,25
alum.mit.edu,25
lwfinger.net,24
lab.ntt.co.jp,24
iki.fi,24
gmx.net,24
ellerman.id.au,24
c-sky.com,24
toxicpanda.com,22
sifive.com,22
bowerswilkins.com,22
siemens.com,21
hauke-m.de,21
siol.net,20
secunet.com,20
compal.corp-partner.google.com,20
aosc.io,20
altlinux.org,20
quantatw.com,19
mvista.com,19
linux.com,19
linux-m68k.org,19
joelfernandes.org,19
hartkopp.net,19
asus.corp-partner.google.com,19
amazon.com,19
sord.co.jp,18
rere.qmqm.pl,18
lwn.net,18
kernel.dk,18
hxt-semitech.com,18
ginzinger.com,18
flygoat.com,18
axis.com,18
perches.com,17
oticon.com,17
mentor.com,17
greensocs.com,17
tycho.nsa.gov,16
sony.com,16
netfilter.org,16
milecki.pl,16
linux-mips.org,16
ispras.ru,16
haasn.xyz,16
codethink.co.uk,16
cn.fujitsu.com,16
candelatech.com,16
bitwise.fi,16
verge.net.au,15
phrozen.org,15
live.ca,15
kontron.de,15
kemnade.info,15
katsuster.net,15
cumulusnetworks.com,15
cogentembedded.com,15
cadence.com,15
1wt.eu,15
os.amperecomputing.com,14
online.net,14
linux.alibaba.com,14
arrikto.com,14
wanadoo.fr,13
quantenna.com,13
ozlabs.ru,13
nic.cz,13
gerhold.net,13
endlessm.com,13
dxplore.eu,13
vaga.pv.it,12
ucr.edu,12
uchuujin.de,12
threespeedlogic.com,12
themaw.net,12
steffen-goertz.de,12
sntech.de,12
skidata.com,12
rasterman.com,12
ossystems.com.br,12
nuvoton.com,12
i2se.com,12
ettus.com,12
cduestc.edu.cn,12
c0d3.blue,12
6wind.com,12
theobroma-systems.com,11
sigxcpu.org,11
roeck-us.net,11
rasmusvillemoes.dk,11
posteo.de,11
lucaceresoli.net,11
who-t.net,10
tsyrklevich.net,10
tkos.co.il,10
synology.com,10
molgen.mpg.de,10
ilande.co.uk,10
goodmis.org,10
eik.bme.hu,10
dronecode.org.uk,10
diasemi.com,10
decadent.org.uk,10
cloudflare.com,10
braap.org,10
asrmicro.com,10
appneta.com,10
unisoc.com,9
toke.dk,9
synaptics.com,9
steelseries.com,9
paulk.fr,9
msn.com,9
microsemi.com,9
microgate.com,9
fi.rohmeurope.com,9
fau.de,9
embedur.com,9
