Contributor,June 2015
intel.com,9683
gmail.com,7525
redhat.com,3912
kernel.org,3698
linaro.org,2405
amd.com,2382
chromium.org,2022
linux-foundation.org,1892
ti.com,1442
google.com,1435
samsung.com,1426
suse.de,1330
free-electrons.com,969
oracle.com,933
imgtec.com,889
ibm.com,836
windriver.com,825
freescale.com,805
synopsys.com,763
osg.samsung.com,746
mellanox.com,737
davemloft.net,705
visteon.com,638
gondor.apana.org.au,627
huawei.com,616
marvell.com,574
suse.com,532
ideasonboard.com,530
metafoo.de,528
codeaurora.org,485
arm.com,478
linutronix.de,473
infradead.org,462
suse.cz,454
pengutronix.de,422
skynet.be,419
arndb.de,407
ozlabs.ru,406
primarydata.com,396
arm.linux.org.uk,374
mev.co.uk,363
atmel.com,330
riseup.net,292
broadcom.com,288
avagotech.com,287
users.sourceforge.jp,286
perches.com,286
cisco.com,286
w1.fi,279
renesas.com,275
neuling.org,275
nvidia.com,270
cn.fujitsu.com,269
visionengravers.com,264
opensource.wolfsonmicro.com,264
iki.fi,264
qti.qualcomm.com,262
vmware.com,258
chelsio.com,253
collabora.co.uk,242
mediatek.com,237
lst.de,231
googlemail.com,228
ffwll.ch,215
free.fr,211
osadl.org,209
linuxfoundation.org,209
glider.be,198
fb.com,198
anholt.net,191
rasmusvillemoes.dk,187
gmx.de,187
hp.com,180
solarflare.com,176
opensource.altera.com,154
lip6.fr,154
poochiereds.net,143
linux-mips.org,143
herbertland.com,143
caviumnetworks.com,143
xilinx.com,141
chris-wilson.co.uk,137
ingics.com,133
whitecape.org,132
unisys.com,132
qlogic.com,132
ieee.org,132
alum.mit.edu,132
baylibre.com,127
st.com,121
sakamocchi.jp,121
linux-m68k.org,121
cumulusnetworks.com,121
axtens.net,121
apm.com,121
freedesktop.org,120
coreboot.org,112
tieto.com,111
mentor.com,111
strongswan.org,110
sntech.de,110
openmailbox.org,110
netfilter.org,110
canonical.com,110
blackhole.kfki.hu,110
zeniv.linux.org.uk,105
qca.qualcomm.com,104
holtmann.org,101
xs4all.nl,99
samba.org,99
nokia.com,99
micron.com,99
lunn.ch,99
lucaceresoli.net,99
citrix.com,99
c-s.fr,99
users.sourceforge.net,95
mungewell.org,93
wvnet.at,88
plumgrid.com,88
nod.at,88
hauke-m.de,88
ezchip.com,88
cmpxchg.org,88
mit.edu,78
sang-engineering.com,77
sandisk.com,77
osandov.com,77
atomide.com,77
agner.ch,77
socionext.com,73
realtek.com,73
aurel32.net,73
xmission.com,69
wp.pl,67
tkos.co.il,66
strlen.de,66
canb.auug.org.au,66
QCA.qualcomm.com,66
tycho.nsa.gov,62
pmeerw.net,55
parkeon.com,55
ozlabs.org,55
openwrt.org,55
nordicsemi.no,55
narfation.org,55
mail.ua,55
linux-iscsi.org,55
kloetzke.net,55
hitachi.com,55
goodmis.org,55
fromorbit.com,55
ellerman.id.au,55
diasemi.com,55
csr.com,55
chronox.de,55
cavium.com,55
ah.jp.nec.com,55
gentoo.org,54
wizery.com,53
yahoo.com.au,45
sonymobile.com,45
android-x86.org,45
rustcorp.com.au,44
roeck-us.net,44
natisbad.org,44
gmx.com,44
boundarydevices.com,44
blackwall.org,44
ni.com,41
igalia.com,37
cogentembedded.com,34
a1ca3aef-8c08-0410-bb20-df032aa958be,34
sslab.ics.keio.ac.jp,33
spreadtrum.com,33
savoirfairelinux.com,33
sai.msu.ru,33
open-mesh.com,33
netapp.com,33
ifi.uio.no,33
gnu.org,33
globallogic.com,33
ens-lyon.org,33
endlessm.com,33
cyphar.com,33
csie.org,33
cococorp.com,33
brocade.com,33
au1.ibm.com,33
rock-chips.com,32
animalcreek.com,31
ite.com.tw,30
collabora.com,30
synaptics.com,28
emc.com.tw,26
denx.de,26
uclinux.org,25
ijw.co.nz,25
lemonage.de,24
nodalink.com,23
wunner.de,22
virtuozzo.com,22
v3.sk,22
tuxdriver.com,22
topic.nl,22
tinag.ch,22
the-dreams.de,22
svt.se,22
stgolabs.net,22
ssi.bg,22
smart-africa.com,22
purestorage.com,22
parallels.com,22
networkplumber.org,22
m4x.org,22
lwn.net,22
linuxhacker.ru,22
linux.com,22
licor.com,22
lemote.com,22
ladisch.de,22
kevinmulvey.net,22
jinso.co.jp,22
iu.edu,22
i2se.com,22
hostmobility.com,22
hisilicon.com,22
hartkopp.net,22
goldelico.com,22
ericsson.com,22
distanz.ch,22
desy.de,22
ccbib.org,22
bmw-carit.de,22
benyossef.com,22
axis.com,22
astier.eu,22
armadeus.com,22
amazon.de,22
alien8.de,22
adeneo-embedded.us,22
chown.ath.cx,20
konsulko.com,19
georgi-clan.de,16
fe80.eu,16
android.com,16
reactos.org,15
gibson.dropbear.id.au,15
se-eng.com,14
raptorengineeringinc.com,14
rab.in,14
decadent.org.uk,13
openvz.org,12
kollasch.net,12
fr.ibm.com,12
debian.org,12
zapto.se,11
zacarias.com.ar,11
yandex-team.ru,11
xsens.com,11
who-t.net,11
weidahitech.com,11
wantstofly.org,11
vidarholen.net,11
valvesoftware.com,11
trendmicro.com.cn,11
telliq.com,11
telegraphics.com.au,11
sgi.com,11
secunet.com,11
rtschenk.de,11
rsi-elektrotechnik.de,11
rgmadvisors.com,11
popple.id.au,11
plantronics.com,11
pid1solutions.com,11
physik.uni-kl.de,11
overkiz.com,11
opensource.se,11
opengridcomputing.com,11
oljud.se,11
nwl.cc,11
nkgroup.cz,11
nicta.com.au,11
netronome.com,11
neratec.com,11
mvista.com,11
muteddisk.com,11
mojatatu.com,11
mleia.com,11
microsoft.com,11
meta.ua,11
math.tu-berlin.de,11
martin.sperl.org,11
mailbox.org,11
maciej.szmigiero.name,11
lwfinger.net,11
luxul.com,11
list.ru,11
leon.nu,11
lantiq.com,11
lab.ntt.co.jp,11
kyup.com,11
kudzu.us,11
kernel.crashing.org,11
kempniu.pl,11
jusst.de,11
joshtriplett.org,11
iogearbox.net,11
inmon.com,11
icequake.net,11
hughsie.com,11
httrack.com,11
gumstix.com,11
gmx.at,11
gateworks.com,11
femto-st.fr,11
fau.de,11
epitech.eu,11
endocode.com,11
efficios.com,11
dv2c.ru,11
dominikbrodowski.net,11
dilger.ca,11
dannf.org,11
codethink.co.uk,11
christofferholmstedt.se,11
cea.fr,11
candicontrols.com,11
bjorling.me,11
apple.com,11
altera.com,11
alliedtelesis.co.nz,11
akamai.com,11
Odin.com,11
7pikes.com,11
zytor.com,10
hovoldconsulting.com,10
das-labor.org,10
toradex.com,9
math.uni-bielefeld.de,9
cmu.edu,7
tdiedrich.de,6
paulk.fr,6
nuvoton.com,6
fami-braun.de,6
unixzen.com,5
tq-group.com,5
online.de,5
lunarg.com,5
ilande.co.uk,5
arrikto.com,5
ami.com,5
aleksander.es,5
wisc.edu,4
vivier.eu,4
twiddle.net,4
tls.msk.ru,4
openwide.fr,4
oevsv.at,4
koconnor.net,4
here.com,4
gluglug.org.uk,4
elecsyscorp.com,4
adv.bruhnspace.com,4
zx2c4.com,3
web.de,3
quantatw.com,3
posteo.de,3
myspectrum.nl,3
freeradius.org,3
caletka.cz,3
amacapital.net,3
wistron.com,2
proxmox.com,2
noos.fr,2
ncultra.org,2
mtjm.eu,2
laptop.org,2
koparo.com,2
kodakalaris.com,2
huau-gabriel.fr,2
felixheld.de,2
declera.com,2
converseincode.com,2
asus.com,2
PaulSD.com,2
virtuousgeek.org,1
uwstout.edu,1
stratus.com,1
ravellosystems.com,1
marex,1
marcm.co.uk,1
livius.net,1
klimek,1
hurleysoftware.com,1
hellion.org.uk,1
gnome.org,1
feralinteractive.com,1
fabio.estevam,1
eu.citrix.com,1
enea.com,1
djasper,1
computer.org,1
codesourcery.com,1
chandlerc,1
bitland.com.cn,1
basystemes.fr,1
ami.com.tw,1
