Contributor,March 2017
gmail.com,10532
intel.com,10357
amd.com,4579
kernel.org,3946
redhat.com,3478
google.com,2782
chromium.org,2135
linux-foundation.org,1625
ibm.com,1608
linaro.org,1564
chris-wilson.co.uk,1475
free-electrons.com,1210
mellanox.com,1185
davemloft.net,1160
nvidia.com,1149
arndb.de,1043
baylibre.com,922
unisys.com,920
collabora.com,875
fb.com,872
arm.com,868
infradead.org,824
glider.be,750
nxp.com,738
tobin.cc,730
zeniv.linux.org.uk,720
ffwll.ch,720
cavium.com,720
oracle.com,660
ti.com,636
broadcom.com,631
suse.com,547
rock-chips.com,541
imgtec.com,533
huawei.com,519
pengutronix.de,508
canonical.com,489
osg.samsung.com,442
renesas.com,421
socionext.com,418
netronome.com,410
synopsys.com,396
itsqueeze.com,392
kempniu.pl,380
samsung.com,358
networkplumber.org,320
csie.org,320
metanate.com,314
mev.co.uk,291
cumulusnetworks.com,272
savoirfairelinux.com,270
googlemail.com,263
users.sourceforge.net,262
suse.de,251
crowfest.net,240
suse.cz,234
mediatek.com,233
whitecape.org,229
igalia.com,228
vmware.com,225
realtek.com,221
qca.qualcomm.com,217
linuxfoundation.org,217
goodmis.org,211
st.com,203
milecki.pl,201
codeaurora.org,201
opensource.wolfsonmicro.com,200
atomide.com,200
aosc.xyz,200
basnieuwenhuizen.nl,191
cisco.com,190
ni.com,185
sakamocchi.jp,180
microsoft.com,180
apm.com,180
sntech.de,160
lixom.net,160
anholt.net,156
perches.com,150
mess.org,150
ideasonboard.com,142
deltatee.com,140
sony.com,130
linux-m68k.org,130
grimberg.me,130
roeck-us.net,128
qti.qualcomm.com,126
lst.de,122
distanz.ch,120
quantatw.com,118
marvell.com,118
bwidawsk.net,115
strlen.de,114
kylehuey.com,110
linutronix.de,101
ellerman.id.au,101
cn.fujitsu.com,101
windriver.com,100
tronnes.org,100
linux-iscsi.org,94
ozlabs.ru,93
gmx.de,93
lse.epita.fr,90
i2se.com,90
endlessm.com,90
collabora.co.uk,90
hpe.com,87
ens-lyon.org,83
netfilter.org,81
the-dreams.de,80
ragnatech.se,80
pnwbakers.com,80
hotmail.com,80
