Contributor,Mars 2019
intel.com,5186
chromium.org,4271
gmail.com,4240
amd.com,3041
google.com,2507
collabora.com,2006
redhat.com,1545
linaro.org,1070
kernel.org,1047
arm.com,999
renesas.com,927
linutronix.de,858
huawei.com,727
mellanox.com,674
suse.de,631
ibm.com,505
linuxfoundation.org,495
nxp.com,452
mediatek.com,452
linux-foundation.org,442
ffwll.ch,435
lst.de,412
davemloft.net,400
baylibre.com,382
nvidia.com,354
codeaurora.org,345
whitecape.org,313
igalia.com,300
bootlin.com,295
ti.com,283
lixom.net,273
oracle.com,260
chris-wilson.co.uk,257
intel.corp-partner.google.com,244
sakamocchi.jp,243
st.com,235
canonical.com,226
socionext.com,195
jlekstrand.net,195
netronome.com,183
broadcom.com,183
glider.be,178
pengutronix.de,175
vmware.com,146
arndb.de,146
microchip.com,145
googlemail.com,131
denx.de,131
nordicsemi.no,129
sang-engineering.com,126
infradead.org,125
samsung.com,120
noos.fr,118
bp.renesas.com,117
suse.com,116
synopsys.com,114
embeddedor.com,114
sigxcpu.org,113
sedsystems.ca,112
ideasonboard.com,112
aheymans.xyz,112
gmx.de,108
fb.com,107
crapouillou.net,106
realtek.com,103
ravnborg.org,93
xs4all.nl,92
analog.com,91
amazon.com,91
csie.org,88
raspberrypi.org,87
sifive.com,83
wdc.com,80
roeck-us.net,76
strlen.de,73
rosenzweig.io,70
prevas.dk,70
itsqueeze.com,70
basnieuwenhuizen.nl,70
hisilicon.com,69
pnwbakers.com,65
marvell.com,65
campus.tu-berlin.de,65
anholt.net,64
brauner.io,61
metux.net,60
xilinx.com,58
lwn.net,58
9elements.com,58
umn.edu,56
opensource.cirrus.com,55
nikanor.nu,54
v3.sk,48
tronnes.org,48
lca.pw,48
cumulusnetworks.com,48
ragnatech.se,47
suse.cz,46
rowland.harvard.edu,45
mentor.com,45
ualberta.ca,44
konsulko.com,44
sntech.de,42
aquantia.com,40
wavecomp.com,39
iogearbox.net,36
deltatee.com,36
atomide.com,36
acm.org,36
codecoup.pl,35
the-dreams.de,33
amarulasolutions.com,33
eltan.com,32
chelsio.com,32
alliedtelesis.co.nz,32
microsoft.com,31
linux.alibaba.com,31
wacom.com,30
toradex.com,30
lucaceresoli.net,30
c-s.fr,30
android.com,30
virtuozzo.com,29
siol.net,28
phytec.de,28
marek.ca,28
kernel.dk,28
felixheld.de,28
w1.fi,27
telegraphics.com.au,27
6wind.com,27
yulong.com,26
azazel.net,26
jmondi.org,25
gentoo.org,25
ellerman.id.au,25
onstation.org,24
microsemi.com,24
free.fr,24
compal.corp-partner.google.com,24
rock-chips.com,23
nuvoton.com,23
mit.edu,23
citrix.com,23
tencent.com,22
nbd.name,22
fi.rohmeurope.com,22
tuxdriver.com,21
synaptics.com,21
holtmann.org,21
etsukata.com,21
vidarholen.net,20
imkreisrum.de,20
mips.com,19
fau.de,19
163.com,19
zary.sk,18
verge.net.au,18
stackframe.org,18
linux-m68k.org,18
ite.com.tw,18
hadess.net,18
goldelico.com,18
gdsys.cc,18
akkea.ca,18
globallogic.com,17
essensium.com,17
baidu.com,17
axtens.net,17
vestas.com,16
kaod.org,16
debian.org,16
zx2c4.com,15
zonque.org,15
tkos.co.il,15
silvair.com,15
quanta.corp-partner.google.com,15
nexus-software.ie,15
nextdimension.cc,15
mojatatu.com,15
jrtc27.com,15
darbyshire-bryant.me.uk,15
c-sky.com,15
zte.com.cn,14
secunet.com,14
ozlabs.org,14
freebox.fr,14
