Contributor,May 2017
intel.com,6432
gmail.com,6276
redhat.com,3726
amd.com,3509
google.com,2818
chromium.org,2596
linux-foundation.org,2440
kernel.org,1283
linaro.org,1217
davemloft.net,1031
mellanox.com,1020
ibm.com,1007
suse.de,901
chris-wilson.co.uk,882
cavium.com,860
collabora.com,773
s-opensource.com,770
renesas.com,753
oracle.com,740
arndb.de,721
arm.com,669
free-electrons.com,610
huawei.com,569
linutronix.de,554
realtek.com,522
lst.de,521
socionext.com,509
nxp.com,506
itsqueeze.com,495
suse.com,490
fb.com,490
users.sourceforge.net,477
zeniv.linux.org.uk,472
netronome.com,470
ti.com,461
savoirfairelinux.com,460
suse.cz,426
ffwll.ch,404
i2se.com,400
glider.be,400
canonical.com,385
rock-chips.com,358
infradead.org,350
csie.org,341
baylibre.com,297
mediatek.com,261
broadcom.com,260
collabora.co.uk,258
unisys.com,250
lunn.ch,240
pengutronix.de,232
anholt.net,220
whitecape.org,208
codeaurora.org,189
cogentembedded.com,170
synopsys.com,169
googlemail.com,160
cmpxchg.org,160
benyossef.com,160
apm.com,160
igalia.com,153
aosc.io,153
embeddedor.com,151
distanz.ch,150
iogearbox.net,141
crapouillou.net,141
verge.net.au,140
netfilter.org,140
perches.com,133
linux-m68k.org,131
microsoft.com,130
st.com,127
siemens.com,126
sakamocchi.jp,121
atomide.com,121
holtmann.org,119
ideasonboard.com,115
wanadoo.fr,110
the-dreams.de,110
k2l.de,110
chelsio.com,110
6wind.com,110
konsulko.com,109
linuxfoundation.org,105
marvell.com,103
atmel.com,103
ellerman.id.au,102
primarydata.com,100
phrozen.org,100
opensource.wolfsonmicro.com,100
networkplumber.org,100
goodmis.org,93
virtuozzo.com,92
rowland.harvard.edu,91
queasysnail.net,90
lixom.net,90
keymile.com,90
samsung.com,86
vmware.com,85
sandisk.com,82
roeck-us.net,82
denx.de,82
gmx.de,81
sixbynine.org,80
opensource.se,80
fi.rohmeurope.com,80
strlen.de,71
sntech.de,71
basnieuwenhuizen.nl,71
windriver.com,70
jvreeland.com,70
bgdev.pl,70
axis.com,70
lge.com,62
hotmail.com,62
aheymans.xyz,62
lip6.fr,61
ozlabs.org,60
giassa.net,60
dowhile0.org,60
alliedtelesis.co.nz,60
mentor.com,59
codecoup.pl,59
qca.qualcomm.com,58
xmission.com,57
imgtec.com,57
nordicsemi.no,56
lwfinger.net,54
ite.com.tw,54
linux-iscsi.org,53
qti.qualcomm.com,50
provenrun.com,50
paul-moore.com,50
kdab.com,50
ni.com,43
nuvoton.com,42
microchip.com,42
ispras.ru,41
amarulasolutions.com,41
agner.ch,41
tycho.nsa.gov,40
tobin.cc,40
skynet.be,40
sipsolutions.net,40
simonwunderlich.de,40
hofr.at,40
epam.com,40
boundarydevices.com,40
I-love.SAKURA.ne.jp,40
w1.fi,36
das-labor.org,36
nod.at,33
secunet.com,32
raspberrypi.org,32
emc.com.tw,32
cumulusnetworks.com,32
axentia.se,31
amazon.de,31
topic.nl,30
ragnatech.se,30
osg.samsung.com,30
openvz.org,30
omnibond.com,30
neuling.org,30
michaelmera.com,30
lwn.net,30
jmondi.org,30
ericsson.com,30
diasemi.com,30
deltatee.com,30
darmarit.de,30
cmss.chinamobile.com,30
canb.auug.org.au,30
163.com,30
theobroma-systems.com,29
aleksander.es,26
free.fr,25
kaod.org,24
aurel32.net,24
yandex-team.ru,23
nvidia.com,23
gateworks.com,23
debian.org,23
sernet.de,22
gentoo.org,22
fe80.eu,22
techsingularity.net,21
sang-engineering.com,21
