Contributor,November 2016
intel.com,10141
gmail.com,7899
redhat.com,3920
google.com,2039
linaro.org,2015
amd.com,2011
kernel.org,1918
arm.com,1709
suse.de,1663
chromium.org,1623
ti.com,1368
ibm.com,1368
mellanox.com,1348
linux-foundation.org,1304
codeaurora.org,1292
samsung.com,1138
davemloft.net,1047
nxp.com,1043
oracle.com,1012
huawei.com,976
arndb.de,976
broadcom.com,924
chris-wilson.co.uk,901
linutronix.de,834
baylibre.com,805
lixom.net,800
synopsys.com,733
nvidia.com,724
free-electrons.com,677
fb.com,667
socionext.com,651
glider.be,630
suse.com,596
s-opensource.com,580
lst.de,580
collabora.com,567
osg.samsung.com,542
rock-chips.com,518
users.sourceforge.net,482
onstation.org,440
cogentembedded.com,440
infradead.org,433
csie.org,411
windriver.com,370
alum.mit.edu,365
ffwll.ch,364
canonical.com,353
suse.cz,346
atomide.com,340
imgtec.com,326
renesas.com,321
unisys.com,290
netronome.com,290
linuxfoundation.org,276
ellerman.id.au,270
cisco.com,270
st.com,246
anholt.net,240
vmware.com,237
gondor.apana.org.au,230
opensource.altera.com,220
whitecape.org,217
marvell.com,215
verge.net.au,210
sandisk.com,210
lunn.ch,210
ericsson.com,210
lightnvm.io,200
googlemail.com,194
opensource.wolfsonmicro.com,191
stefanchrist.eu,190
ideasonboard.com,190
cavium.com,190
blackhole.kfki.hu,190
gmx.de,186
wanadoo.fr,181
ozlabs.org,180
axentia.se,180
lip6.fr,172
wunner.de,170
hisilicon.com,170
strlen.de,161
mess.org,161
collabora.co.uk,161
ovn.org,160
igalia.com,154
metafoo.de,152
goodmis.org,150
pengutronix.de,146
netfilter.org,143
obsidianresearch.com,140
lwn.net,140
iogearbox.net,140
cumulusnetworks.com,132
mentor.com,131
chelsio.com,130
quantatw.com,125
qca.qualcomm.com,124
sixbynine.org,123
free.fr,123
xilinx.com,122
ragnatech.se,120
am.sony.com,120
savoirfairelinux.com,111
wdc.com,110
uclouvain.be,110
telegraphics.com.au,110
mit.edu,101
lwfinger.net,101
zte.com.cn,100
i2se.com,100
linux-mips.org,93
caviumnetworks.com,90
agner.ch,90
denx.de,88
mediatek.com,84
microsoft.com,81
atmel.com,81
solarflare.com,80
narfation.org,80
kylinos.cn,80
ingics.com,80
axis.com,80
mvista.com,75
zonque.org,70
tronnes.org,70
milecki.pl,70
hotmail.com,70
goldelico.com,70
fromorbit.com,70
exdev.nl,70
crapouillou.net,70
qti.qualcomm.com,66
xs4all.nl,64
tieto.com,61
apm.com,61
ucw.cz,60
microsemi.com,60
messages.microsoft.com,60
boundarydevices.com,60
163.com,60
roeck-us.net,52
bell.net,51
skynet.be,50
sigmadesigns.com,50
sigma-star.at,50
sang-engineering.com,50
ni.com,50
mleia.com,50
martin.sperl.org,50
ispras.ru,50
ikuai8.com,50
e-labworks.com,50
crowfest.net,50
bmw-carit.de,50
au1.ibm.com,50
asbjorn.st,50
realtek.com,43
queasysnail.net,43
virtuozzo.com,42
dettori.io,42
xmission.com,40
tiscali.nl,40
synaptics.com,40
sony.com,40
sntech.de,40
shmanahar.org,40
openedev.com,40
neuling.org,40
nbd.name,40
mev.co.uk,40
lechnology.com,40
kleine-koenig.org,40
distanz.ch,40
basnieuwenhuizen.nl,40
I-love.SAKURA.ne.jp,40
HansenPartnership.com,40
nuvoton.com,39
bwidawsk.net,39
aheymans.xyz,38
toradex.com,36
kde.org,36
semihalf.com,35
cn.fujitsu.com,34
amarulasolutions.com,33
web.de,31
lynxeye.de,31
kernel.crashing.org,31
gmx.com,31
tkos.co.il,30
russell.cc,30
protonic.nl,30
primarydata.com,30
openvz.org,30
opengridcomputing.com,30
open-mesh.com,30
neomailbox.ch,30
microchip.com,30
m4x.org,30
linuxhacker.ru,30
lekensteyn.nl,30
intrinsyc.com,30
grimberg.me,30
gibson.dropbear.id.au,30
engestrom.ch,30
de.adit-jv.com,30
cmss.chinamobile.com,30
cirrus.com,30
cea.fr,30
c-s.fr,30
bjorling.me,30
barix.com,30
aosc.xyz,30
abbadie.fr,30
PaulSD.com,30
aleksander.es,28
thejh.net,26
secunet.com,26
hpe.com,25
rwth-aachen.de,24
s5r6.in-berlin.de,22
mojatatu.com,21
hughsie.com,21
electromag.com.au,21
cohaesio.com,21
zeniv.linux.org.uk,20
vandrovec.name,20
v3.sk,20
tycho.nsa.gov,20
strongswan.org,20
semaphore.gr,20
seagate.com,20
schaufler-ca.com,20
sandeen.net,20
rowland.harvard.edu,20
raspberrypi.org,20
rainbow-software.org,20
