Contributor,October 2017
intel.com,7415
gmail.com,6492
google.com,4193
chromium.org,3714
amd.com,2992
redhat.com,2960
linaro.org,1676
linux-foundation.org,1557
arm.com,1247
davemloft.net,1158
kernel.org,1146
arndb.de,1075
oracle.com,1033
ibm.com,1029
mellanox.com,950
canonical.com,764
broadcom.com,747
suse.de,697
codeaurora.org,654
huawei.com,652
chris-wilson.co.uk,648
netronome.com,642
free-electrons.com,639
glider.be,589
anholt.net,584
nxp.com,557
lst.de,487
samsung.com,480
wdc.com,456
embeddedor.com,451
ti.com,437
nvidia.com,420
socionext.com,415
renesas.com,411
fb.com,375
pengutronix.de,368
suse.com,349
baylibre.com,348
infradead.org,345
users.sourceforge.net,339
pnwbakers.com,336
mediatek.com,336
st.com,302
basnieuwenhuizen.nl,295
cavium.com,293
csie.org,288
cnexlabs.com,288
s-opensource.com,262
linutronix.de,254
microchip.com,251
collabora.com,239
chelsio.com,232
zeniv.linux.org.uk,217
whitecape.org,213
savoirfairelinux.com,212
synopsys.com,211
android.com,210
vmware.com,198
imgtec.com,196
linuxfoundation.org,192
ericsson.com,182
kernel.dk,180
qca.qualcomm.com,172
microsemi.com,171
rock-chips.com,167
KARO-electronics.de,161
igalia.com,159
tuxera.com,158
cisco.com,157
strlen.de,147
cogentembedded.com,147
realtek.com,145
sang-engineering.com,140
c-s.fr,138
itsqueeze.com,137
googlemail.com,131
goodmis.org,131
atomide.com,129
bp.renesas.com,126
verge.net.au,120
sondrel.com,119
wanadoo.fr,118
grimberg.me,114
sony.com,112
linux-mips.org,112
endlessm.com,111
suse.cz,106
kdab.com,105
jms.id.au,105
qti.qualcomm.com,100
rwth-aachen.de,98
onstation.org,98
hisilicon.com,98
hardeman.nu,98
gmx.de,97
amazon.com,96
w1.fi,94
toxicpanda.com,91
quantenna.com,91
microsoft.com,91
mess.org,91
virtuozzo.com,90
marvell.com,90
mit.edu,86
tronnes.org,84
electromag.com.au,84
m3y3r.de,83
aleksander.es,82
lixom.net,80
cn.fujitsu.com,80
xilinx.com,79
wunner.de,79
lse.epita.fr,77
roeck-us.net,76
ffwll.ch,74
mojatatu.com,73
lge.com,73
hotmail.com,70
ellerman.id.au,70
aquantia.com,70
alphalink.fr,68
gmx.com,64
jp.fujitsu.com,63
cumulusnetworks.com,62
rowland.harvard.edu,61
osg.samsung.com,61
iogearbox.net,60
cn.bosch.com,60
163.com,57
keithp.com,56
iotwrt.com,56
networkplumber.org,55
the-dreams.de,49
lyle.org,49
hughsie.com,49
generalsoftwareinc.com,49
feralinteractive.com,49
egil-hjelmeland.no,49
caviumnetworks.com,49
aosc.io,48
primarydata.com,47
braap.org,45
amarulasolutions.com,45
konsulko.com,44
hpe.com,43
xs4all.nl,42
sntech.de,42
sigmadesigns.com,42
secunet.com,42
rere.qmqm.pl,42
ozlabs.org,42
jp.alps.com,42
kaod.org,40
engestrom.ch,40
debian.org,39
zx2c4.com,38
alibaba-inc.com,37
amazon.de,36
z3ntu.xyz,35
techveda.org,35
perches.com,35
kaa.org.ua,35
jmondi.org,35
infineon.com,35
didichuxing.com,35
alum.mit.edu,34
lwfinger.net,32
denx.de,32
hadess.net,31
gondor.apana.org.au,31
collabora.co.uk,31
