Contributor,September 2020
chromium.org,2529
google.com,1777
intel.com,1346
gmail.com,809
collabora.com,472
amd.com,456
redhat.com,369
kernel.org,328
codeaurora.org,269
nordicsemi.no,246
jlekstrand.net,186
linux-foundation.org,149
huawei.com,148
mediatek.com,146
quanta.corp-partner.google.com,139
nbd.name,122
semihalf.com,118
linaro.org,112
anholt.net,108
marek.ca,79
nxp.com,78
oracle.com,75
noos.fr,69
arm.com,65
realtek.com,61
compal.corp-partner.google.com,61
nvidia.com,54
ibm.com,53
synopsys.com,52
suse.com,52
broadcom.com,52
microsoft.com,50
basnieuwenhuizen.nl,48
quantatw.com,47
freedesktop.org,46
renesas.com,45
infradead.org,39
keemail.me,36
aleksander.es,35
umn.edu,33
st.com,33
mniewoehner.de,33
canonical.com,33
zju.edu.cn,30
suse.de,30
ite.com.tw,30
linuxfoundation.org,29
engestrom.ch,28
chris-wilson.co.uk,27
ragnatech.se,26
gmx.de,26
toxicpanda.com,25
suse.cz,25
raspberrypi.com,24
ideasonboard.com,23
globallogic.com,22
davemloft.net,21
wistron.corp-partner.google.com,19
gerhold.net,19
fb.com,19
posteo.net,18
kernel.dk,18
itsqueeze.com,18
huaqin.corp-partner.google.com,18
felixheld.de,18
bytedance.com,18
marvell.com,17
jmondi.org,17
ti.com,16
samsung.com,16
roeck-us.net,16
cmpxchg.org,16
I-love.SAKURA.ne.jp,16
ffwll.ch,15
brixandersen.dk,15
amd.corp-partner.google.com,15
wdc.com,14
grimberg.me,14
sakamocchi.jp,13
mellanox.com,13
intel.corp-partner.google.com,13
erwinrol.com,13
linux.alibaba.com,12
jsg.id.au,12
igalia.com,12
axis.com,12
alliedtelesis.co.nz,12
nuvoton.corp-partner.google.com,11
netfilter.org,11
linutronix.de,11
codecoup.pl,11
alpha.franken.de,11
rowland.harvard.edu,10
ribalda.com,10
nuvoton.com,10
loongson.cn,10
hotmail.com,10
embedjournal.com,10
chelsio.com,10
rere.qmqm.pl,9
ozlabs.ru,9
lairdconnect.com,9
displaylink.com,9
dell.com,9
arndb.de,9
wunner.de,8
wanadoo.fr,8
tu-ilmenau.de,8
ts.fujitsu.com,8
teslabs.com,8
system76.com,8
review.trustedfirmware.org,8
mork.no,8
hauke-m.de,8
hadess.net,8
9elements.com,8
uniontech.com,7
tw.synaptics.com,7
strlen.de,7
pabigot.com,7
mess.org,7
ispras.ru,7
c0d3.blue,7
baylibre.com,7
zeniv.linux.org.uk,6
xs4all.nl,6
vestas.com,6
uros.com,6
uajain.com,6
